question,prediction,truth,exact_match,f1
CLC và CTTT là gi?,CLC,"CLC là viết tắt của ""Chất lượng cao"". CTTT là viết tắt của ""Chương trình tiên tiến""",0,0.1111111111111111
CBPB có phải là viết tắt của từ Cân bằng phân biệt hay không?,"CBPB là viết tắt của ""Cán bộ phản biện""","CBPB là viết tắt của ""Cán bộ phản biện""",1,1.0
PGS chắc là Phòng giám sát nhỉ?,"PGS là viết tắt của ""Phó giáo sư"".","PGS là viết tắt của ""Phó giáo sư"". ",0,1.0
Ai là người chấm kết quả thực tập?,"của mỗi thành viên hội đồng, người hướng dẫn và người phản biện.","3 người, bao gồm giảng viên hướng dẫn",0,0.2857142857142857
Khóa luận tốt nghiệp được chấm bởi giảng viên hướng dẫn hay là ai khác ạ?,"chủ tịch, ủy viên thư ký và ủy viên."," 3 người, bao gồm: chủ tịch, ủy viên thư ký và ủy viên",0,0.6363636363636364
Kết quả thực do bao nhiêu người chấm?,"3 người,",3 người,0,0.5
Giảng viên hướng dẫn có nằm trong thành phần chấm thực tập của em không?,không,bao gồm giảng viên hướng dẫn,0,0.0
Thành phần của hội đồng chấm khóa luận tốt nghiệp?,"chủ tịch, ủy viên thư ký và ủy viên.","chủ tịch, ủy viên thư ký và ủy viên.",1,0.8888888888888888
Cán bộ hướng dẫn có được chấm khóa luận tốt nghiệp không?,CBHD,không được là thành viên hội đồng,0,0.0
Điểm khóa luận của hội đồng.làm tròn đến đâu?,"0,5)","0,1",0,0.0
Điểm tổng kết khóa luận tốt nghiệp được chấm như thế nào?,"trung bình cộng (làm tròn đến 0,1)","trung bình cộng (làm tròn đến 0,1) của: Điểm hệ số 1 của tất cả thành viên hội đồng (ngoại trừ người phản biện nếu người phản biện có trong hội đồng), Điểm hệ số 2 của người hướng dẫn và người phản biện",0,0.2745098039215686
Khi nào có kết quả chấm thực tập?,"sau mỗi buổi bảo vệ, mỗi buổi báo cáo.","sau mỗi buổi bảo vệ, mỗi buổi báo cáo",0,0.6666666666666666
Khi nao công bố điểm thực tập?,"sau mỗi buổi bảo vệ, mỗi buổi báo cáo.","công bố sau mỗi buổi bảo vệ, mỗi buổi báo cáo.",0,0.7000000000000001
Điểm bảo lưu được định nghĩa như thế nào?,không,Sinh viên đã thi đạt yêu cầu một học phần ở một CSĐT bậc Đại học khác trong thời gian không quá 5 năm nếu muốn xin miễn học phần đó,0,0.0625
Thời gian bảo lưu tối đa là bao lâu?,các học phần có kết quả đạt.,5 năm,0,0.0
Muốn bảo lưu cần phải làm gì?,Thí,"phải làm đơn kèm theo xác nhận (số tiết học, số tín chỉ và điểm) gửi về P. ĐTĐH của Trường trong vòng 1 tháng sau khi bắt đầu học kỳ",0,0.0
Cần gửi đơn xin bảo lưu trong khoảng thời gian nào?,15 ngày kể từ ngày gọi nhập học,1 tháng sau khi bắt đầu học kỳ,0,0.125
Đơn xin bảo lưu điểm phải nộp cho ai?,P. ĐTĐH của Trường,P. ĐTĐH của Trường,1,1.0
"Sau khi nộp đơn xin bảo lưu điểm, em có bị bắt phải nộp thêm giấy tờ chứng minh nào khác không?",có,cung cấp đề cương chi tiết của học phần có xác nhận của nơi sinh viên đã học,0,0.10526315789473684
Yêu cầu thêm sau khi nộp đơn bảo lưu?,có quyết định chấp thuận của Hiệu trưởng.,có thể yêu cầu sinh viên cung cấp đề cương chi tiết của học phần có xác nhận của nơi sinh viên đã học,0,0.125
Cần chuẩn bị giấy tờ gì khi xin bảo lưu điểm?,Thí sinh trúng tuyển,cung cấp đề cương chi tiết của học phần có xác nhận của nơi sinh viên đã học,0,0.0909090909090909
Nếu được chấp thuận thì sao?,học,học phần đó sẽ được điểm mà sinh viên đã đạt và kèm theo chữ bảo lưu (BL),0,0.10526315789473684
Điểm nếu đơn xin bảo lưu được chấp thuận thì sao?,có quyết định chấp thuận của Hiệu trưởng.,học phần đó sẽ được điểm mà sinh viên đã đạt và kèm theo chữ bảo lưu (BL),0,0.0
Sinh viên chương trình đại trà có được chuyển ngành/chương trình hay không?,được,Sinh viên chương trình đại trà được xem xét chuyển ngành/chương trình nếu có đủ các điều kiện ,0,0.10526315789473684
"Trong số các điều kiện để sinh viên chương trình đại trà được xem xét chuyển ngành/chương trình, sinh viên phải có ĐTBCTL là bao nhiêu?","6,5 trở lên,","từ  6,5 trở lên",0,0.5714285714285715
Sinh viên muốn chuyển ngành phải nhận được sự chấp thuận của ai?,"Hiệu trưởng trường xin chuyển đi và Hiệu trưởng trường tiếp nhận,",Trưởng khoa/Trưởng bộ môn quản lý ngành đào tạo (nơi chuyển đến) và Trưởng khoa/Trưởng bộ môn quản lý ngành đào tạo (nơi chuyển đi).,0,0.10810810810810811
Phải nhận được sự chấp thuận của ai thì xem xét chuyển ngành?,Hiệu trưởng,Trưởng khoa/Trưởng bộ môn quản lý ngành đào tạo (nơi chuyển đến) và Trưởng khoa/Trưởng bộ môn quản lý ngành đào tạo (nơi chuyển đi).,0,0.0
Sinh viên chương trình chất lượng cao muốn chuyển nghành thì sao?,hành.,thực hiện theo các quy định riêng (nếu có),0,0.0
Sinh viên  tiên tiến muốn chuyển ngành phải làm gì?,phải có hồ sơ xin chuyển trường,thực hiện theo các quy định riêng (nếu có),0,0.0
Quy định việc chuyển chương trình với sinh viên không thuộc chương trình đại trà?,"sinh viên chương trình chất lượng cao,",thực hiện theo các quy định riêng (nếu có),0,0.0
Số tín chỉ được phép khi học lại?,14 ≤ n ≤ 24.,không được vượt quá 12 tín chỉ,0,0.0
Đăng kí cải thiện thì được nhiêu chỉ?,Tổng số tín chỉ đăng ký học cải thiện ở học kỳ nào,không được vượt quá 12 tín chỉ,0,0.2
Ai có thể đăng kí học vượt?,"sinh viên có ĐTBCTL ≥ 7,0","các sinh viên có ĐTBCTL ≥ 7,0 đến thời điểm đăng ký",0,0.6666666666666666
Điều kiện nào để sinh viên được đăng ký học vượt ?,"sinh viên có ĐTBCTL ≥ 7,0","có ĐTBCTL ≥ 7,0 đến thời điểm đăng ký",0,0.5333333333333333
Sinh viên có ĐTBCTL là bao nhiêu mới được đăng ký học vượt ?,"7,0","≥ 7,0",0,0.6666666666666666
Sinh viên có được đăng ký các học phần mới (ngoại trừ Thực tập doanh nghiệp) trong học kỳ hè (học vượt) hay không?,"có ĐTBCTL ≥ 7,0","chỉ dành cho các sinh viên có ĐTBCTL ≥ 7,0 đến thời điểm đăng ký",0,0.4210526315789474
Trong trường hợp đặc biệt thì sinh viên có thể hỏi ai?,P.ĐTĐH có thể mở lớp,Hiệu trưởng,0,0.0
Ai là người giải quyết trường hợp đặc biệt khi đăng kí học vượt ?,Hiệu trưởng.,Hiệu trưởng,0,0.5
Sinh viên được đăng ký vượt quá số tín chỉ tối đa hoặc ít hơn số tín chỉ tối thiểu hay không?,không,phải được sự đồng ý của Hiệu trưởng,0,0.0
Cần phải có sự đồng ý của Hiệu trưởng trong trường hợp nào?,Hội đồng xét tốt nghiệp,Trong trường hợp đặc biệt sinh viên muốn đăng ký vượt quá số tín chỉ tối đa hoặc ít hơn số tín chỉ tối thiểu,0,0.0
Thế nào là một học kỳ?,sinh viên hoàn thành một số học phần của chương trình đào tạo.,thời gian để sinh viên hoàn thành một số học phần của chương trình đào tạo,0,0.8275862068965517
Định nghĩa học kỳ?,kết quả học tập chỉ được đăng ký học tối đa 14 tín chỉ,thời gian để sinh viên hoàn thành một số học phần của chương trình đào tạo,0,0.06666666666666667
Học kỳ là gì?,Điểm trung bình học kỳ (ĐTBHK),thời gian để sinh viên hoàn thành một số học phần của chương trình đào tạo,0,0.09090909090909091
Một học kỳ chính diễn ra thế nào?,Một học kỳ chính có 15 tuần thực học và 2 đến 3 tuần,"có 15 tuần thực học và 2 đến 3 tuần dành cho đánh giá hoạt động đào tạo (thi cuối kỳ, thi giữa kỳ, kiểm tra,…)",0,0.45
Một học kỳ chính có bao nhiêu tuần thực học?,5,15 tuần,0,0.0
Đánh giá hoạt động đào tạo trong một học kỳ diễn ra trong bao nhiêu tuần?,2 đến 3 tuần,2 đến 3 tuần ,0,1.0
Đánh giá hoạt động đào tạo bao gồm những hoạt động nào?,viên.,"thi cuối kỳ, thi giữa kỳ, kiểm tra",0,0.0
Một học kỳ hè có bao nhiêu tuần thực học?,5,tối thiểu 5 tuần ,0,0.4
Một học kỳ hè diễn ra trong bao lâu?,5 tuần,tối thiểu 5 tuần thực học và 1 tuần thi,0,0.33333333333333337
Thời gian trong một học kỳ chính được phân bổ như thế nào?,học lần đầu,15 tuần thực học và 2 đến 3 tuần dành cho đánh giá hoạt động đào tạo,0,0.1
Nếu không trực tiếp nhận bằng thì sao?,Phải có giấy ủy quyền theo quy định của pháp luật,Phải có giấy ủy quyền theo quy định của pháp luật,1,1.0
Có thể thay mặt người khác đến nhận văn bằng được không?,không,"Phải có giấy ủy quyền theo quy định của pháp luật khi không trực tiếp đến nhận văn bằng, chứng chỉ",0,0.0909090909090909
"Khi ủy thác người thân hay bạn bè hay ai đó đến nhận chứng chỉ hộ, thì có cần thông qua thủ tục gì hay không?",có,"Phải có giấy ủy quyền theo quy định của pháp luật khi không trực tiếp đến nhận văn bằng, chứng chỉ",0,0.0909090909090909
"Khi bị mất văn bằng, tôi phải làm gì?",nhất,"Trình báo cho cơ quan cấp văn bằng, chứng chỉ và cơ quan công an",0,0.0
"Văn bằng của tôi bị mất, tôi nên làm gì?",nhất,"Trình báo cho cơ quan cấp văn bằng, chứng chỉ và cơ quan công an",0,0.0
"Em mới nhận được quyết định thu hồi lại văn bằng, em phải nộp lại ở đâu?","cơ quan có thẩm quyền thu hồi văn bằng, chứng chỉ","cho cơ quan có thẩm quyền thu hồi văn bằng, chứng chỉ",0,0.9565217391304348
Thời hạn để tôi nộp lại văn bằng là bao lâu?,"30 ngày,","trong thời hạn 30 ngày, kể từ ngày nhận được Quyết định thu hồi văn bằng, chứng chỉ",0,0.19999999999999998
Em xin ra khỏi chương trình tài năng thì làm gì?,hoàn trả lại toàn bộ số tiền học bổng đã nhận,trách nhiệm hoàn trả lại toàn bộ số tiền học bổng đã nhận,0,0.9166666666666666
Có thể xin ra khỏi chương trình tài năng không?,có,được phép làm  đơn ,0,0.0
Từ lớp tài năng muốn trở về lớp đại trà thì phải làm sao?,làm  đơn,làm  đơn xin ra khỏi chương trình,0,0.4444444444444445
Lớp đại trà có nhận sinh viên trở về từ chương trình tài năng không?,có,được phép làm  đơn xin ra khỏi chương trình,0,0.0
Nếu sinh viên xin ra khỏi hệ tài năng phải có trách nhiệm gì?,hoàn trả lại toàn bộ số tiền học bổng đã nhận,hoàn trả lại toàn bộ số tiền học bổng đã nhận,1,1.0
Muốn xin rút khỏi chương trình tài năng nhưng tiền học bổng thì có được giữ lại không?,có,hoàn trả lại toàn bộ,0,0.0
Xin rút khỏi chương trình tài năng có điều kiện gì không?,Sinh viên có,Nếu sinh viên xin ra khỏi hệ tài năng phải có trách nhiệm hoàn trả lại toàn bộ số tiền học bổng đã nhận,0,0.14814814814814814
Mất gì khi ra khỏi hệ tài năng?,hoàn trả lại toàn bộ số tiền học bổng đã nhận,hoàn trả lại toàn bộ số tiền học bổng đã nhận,1,1.0
Có được giữ lại tiền học bổng sau khi được xét duyệt xin rút khỏi chương trình tài năng không?,có,hoàn trả lại toàn bộ,0,0.0
Khi làm đơn rút khỏi chương trình tài năng phải cam kết trả lại bao nhiêu tiền học bổng?,toàn bộ số tiền học bổng đã nhận,toàn bộ,0,0.4
Tiền học bổng bị đòi lại toàn bộ hay chỉ đòi số tiền còn lại khi chuyển từ chương trình tài năng sang hệ đại trà?,toàn bộ,hoàn trả lại toàn bộ,0,0.5714285714285715
Em có được lấy bảng điểm trong quá trình học tập không?,đề nghị Trường cấp bảng điểm.,có thể đề nghị Trường,0,0.5454545454545454
Em muốn lấy bảng điểm trong thời gian học luôn thì có được không ạ?,có),có thể đề nghị Trường,0,0.0
Lấy bảng điểm có mất chi phí gì hay không?,nghiệp.,nộp lệ phí theo quy định của Trường,0,0.0
"Nếu muốn được cấp bảng điểm, em có cần phải tốn tiền không?",đề nghị Trường cấp bảng điểm.,nộp lệ phí theo quy định của Trường,0,0.14285714285714288
Làm thế nào để được cấp bảng điểm trong quá trình học tập?,đăng ký và nộp lệ phí,đăng ký và nộp lệ phí theo quy định của Trường,0,0.7058823529411764
Khi đề nghị Trường cấp bảng điểm trong quá trình học tập thì em phải làm những thủ tục gì?,sinh viên phải đăng ký và nộp lệ phí,đăng ký và nộp lệ phí theo quy định của Trường,0,0.6
Khi nào sinh viên được cấp bảng điểm mà không cần đăng kí?,"Sau khi tốt nghiệp,",Sau khi tốt nghiệp,0,0.75
"Muốn được cấp bảng điểm trong quá trình học thì phải đóng lệ phí, có đúng không ạ?",đề nghị Trường cấp bảng điểm.,nộp lệ phí theo quy định của Trường,0,0.14285714285714288
Có cách nào để có bảng điểm mà không tốn tiền hay không?,đề nghị Trường cấp bảng điểm.,Sau khi tốt nghiệp,0,0.0
Bảng điểm được cấp kèm theo cái gì khi ra trường?,bằng tốt nghiệp.,bằng tốt nghiệp,0,0.6666666666666666
Bảng điểm được cấp miễn phí khi nào?,"Sau khi tốt nghiệp,",Sau khi tốt nghiệp,0,0.75
Trọng số trong ĐTBHK được hiểu như thế nào?,số tín chỉ của mỗi môn học tương ứng.,trọng số là số tín chỉ của mỗi môn học tương ứng,0,0.761904761904762
Ý nghĩa của ĐTBHK?,không được tính,"để xét học bổng, khen thưởng, xử lý học vụ sau mỗi học kỳ.",0,0.0
Mục đích chính của ĐTBHK?,không được tính,"để xét học bổng, khen thưởng, xử lý học vụ sau mỗi học kỳ",0,0.0
ĐTBHK được sử dụng để làm gì?,Nghiêm cấm mọi hành vi gian lận,"để xét học bổng, khen thưởng, xử lý học vụ sau mỗi học kỳ",0,0.0
Cơ sở chính để xét học bổng là gì vậy?,chương trình đào tạo của ĐHQG-HCM,ĐTBHK,0,0.0
"Ngoài được dùng để xét học bổng, khen thưởng thì ĐTBHK còn có chức năng nào?",xử lý học vụ sau mỗi học kỳ.,xử lý học vụ sau mỗi học kỳ,0,0.75
Kết quả học tập của học kỳ hè được ghi nhận thế nào?,tính,tính chung vào học kỳ liền kề trước đó,0,0.19999999999999998
Điểm của học kỳ hè được tính như thế nào?,học kỳ 2 cùng năm học.,tính chung vào học kỳ liền kề trước đó,0,0.26666666666666666
Số tín chỉ đăng ký trong mỗi học kỳ chính thỏa điều kiện nào?,14 ≤ n ≤ 24.,thỏa điều kiện 14 ≤ n ≤ 24,0,0.4615384615384615
Điều kiện đối với số tín chỉ đăng ký?,14 ≤ n ≤ 24.,thỏa điều kiện 14 ≤ n ≤ 24,0,0.4615384615384615
Số tín chỉ đăng ký học tối thiểu trong mỗi học kỳ chính?,n,14,0,0.0
"Trong mỗi học kỳ chính, có thể đăng ký số tín chỉ tối đa là bao nhiêu?",30,24,0,0.0
Với điều kiện nào thì sinh viên được phép đăng ký tối đa 30 tín chỉ?,"có ĐTBCTL ≥ 8,0","có ĐTBCTL ≥ 8,0 đến thời điểm đăng ký",0,0.6153846153846153
Có sinh viên nào được đăng ký số lượng tín chỉ vượt quá 24 tín chỉ không?,≥,"có ĐTBCTL ≥ 8,0 đến thời điểm đăng ký",0,0.19999999999999998
"Số tín chỉ tối đa sinh viên có điểm lớn hơn 8,0 được đăng kí?",12 tín chỉ.,30 tín chỉ,0,0.3333333333333333
Nếu em chỉ còn ít hơn số tín chỉ tối thiểu phải học thì sao?,không áp dụng quy định số tín chỉ tối thiểu.,không áp dụng quy định,0,0.6666666666666666
Quy định số tín chỉ tối thiểu không được áp dụng với đối tượng nào?,Đối với những sinh viên còn phải học ít hơn 14 tín chỉ,sinh viên còn phải học ít hơn 14 tín chỉ,0,0.8695652173913044
Việc chuyển đổi và công nhận tín chỉ được thực hiện theo quy định nào?,ĐHQG-HCM và các đơn vị đối tác.,quy định tại Điều 28 của Quy chế này,0,0.0
Điều 28 của Quy chế này quy định điều gì?,không vượt quá 02 lần thời gian thiết kế cho khóa học.,Việc chuyển đổi và công nhận tín chỉ,0,0.0
"Nếu đăng ký học tại trường thì đầu mỗi học kỳ, sinh viên phải làm gì?",Trường.,"phải tìm hiểu, nghiên cứu để nắm được chương trình giáo dục, các học phần được mở trong học kỳ và đăng ký các học phần qua hệ thống đăng ký hoặc bằng phiếu đăng ký theo quy định của Trường",0,0.0
Đăng ký học phần bằng cách nào?,quy trình đăng ký học phần của Trường.,qua hệ thống đăng ký hoặc bằng phiếu đăng ký,0,0.22222222222222224
Đăng ký học phần?,cải thiện được thực hiện theo quy trình đăng ký học phần của Trường.,đăng ký các học phần qua hệ thống đăng ký hoặc bằng phiếu đăng ký theo quy định của Trường,0,0.4117647058823529
"Ngoài thông qua hệ thống đăng ký, còn cách nào để đăng ký học phần hay không?",bằng phiếu đăng ký,bằng phiếu đăng ký,1,1.0
Sinh viên khóa tuyển mới học kỳ đầu tiên sẽ học như thế nào?,thời khóa biểu được xếp sẵn theo kế hoạch giảng dạy.,theo thời khóa biểu được xếp sẵn theo kế hoạch giảng dạy,0,0.8695652173913043
Thời khóa biểu được sắp xếp như thế nào với sinh viên khóa mới?,xếp sẵn theo kế hoạch giảng dạy.,được xếp sẵn theo kế hoạch giảng dạy,0,0.7999999999999999
Thời khóa biểu được xếp sẵn theo kế hoạch giảng dạy được áp dụng cho đối tượng nào?,"sinh viên khóa tuyển mới, học kỳ đầu tiên",sinh viên khóa tuyển mới,0,0.5714285714285714
Thế nào là sinh viên chính quy?,Trường.,là các thí sinh trúng tuyển vào hệ chính quy và đã hoàn tất các thủ tục nhập học theo quy định của Trường,0,0.0
Đối tượng tạo được gọi là sinh viên chính quy,các thí sinh trúng tuyển vào hệ chính quy,là các thí sinh trúng tuyển vào hệ chính quy và đã hoàn tất các thủ tục nhập học theo quy định của Trường,0,0.5454545454545454
"Để trở thành sinh viên chính quy, cần phải thỏa mãn những yêu cầu nào?",hoàn tất các thủ tục nhập học theo quy định của Trường.,trúng tuyển vào hệ chính quy và đã hoàn tất các thủ tục nhập học theo quy định của Trường,0,0.6874999999999999
Sinh viên chính quy có phải chỉ cần là các thí sinh trúng tuyển vào hệ chính quy hay không?,Sinh viên chính quy,hoàn tất các thủ tục nhập học theo quy định của Trường,0,0.125
"Đối với sinh viên chính quy, Trường tổ chức đào tạo theo phương thức nào?",tập trung toàn thời gian cho sinh viên hệ chính quy.,chính quy tập trung toàn thời gian,0,0.6666666666666665
Phương thức đào tạo áp dụng cho sinh viên chính quy?,phương thức chính quy tập trung toàn thời gian cho sinh viên hệ chính quy.,chính quy tập trung toàn thời gian,0,0.6363636363636364
Phương thức chính quy tập trung toàn thời gian được áp dụng cho đối tượng nào?,Sinh viên chính quy,sinh viên hệ chính quy,0,0.6666666666666665
Cơ quan nào quy định mỗi sinh viên hệ chính quy đều có một mã số riêng?,Trường.,Trường,0,0.0
Mã số riêng theo quy định của Trường được cấp cho ai?,Mỗi sinh viên hệ chính quy,Mỗi sinh viên hệ chính quy,1,1.0
Nghĩa vụ của sinh viên?,"Không hoàn thành nghĩa vụ học phí đúng quy định,",phải chấp hành quy chế hiện hành về công tác sinh viên của Trường ,0,0.08333333333333333
Nghĩa vụ của sinh viên?,"Không hoàn thành nghĩa vụ học phí đúng quy định,",chấp hành quy chế hiện hành về công tác sinh viên của Trường ,0,0.08695652173913043
Quyền lợi của sinh viên hệ chính quy?,Sinh viên phải,hưởng các chính sách dành cho sinh viên hệ chính quy,0,0.14285714285714288
Chứng chỉ tiếng Anh nào được công nhận?,"TOEIC,","TOEIC, TOEFL ITP, TOEFL iBT, IELTS, Cambridge English (PET, FCE, CAE)",0,0.16666666666666669
Một số chứng chỉ tiếng anh được công nhận bao gồm?,"TOEIC,","TOEIC, TOEFL ITP, TOEFL iBT, IELTS, Cambridge English (PET, FCE, CAE)",0,0.16666666666666669
Kể tên cho tôi tất cả các loại chứng chỉ tiếng Anh được công nhận?,"TOEIC,","TOEIC, TOEFL ITP, TOEFL iBT, IELTS, Cambridge English (PET, FCE, CAE)",0,0.16666666666666669
TOEIC có được nhận không?,không,được công nhận,0,0.0
Không biết chứng chỉ PET có được công nhận ở Việt nam không?,Giữ,được công nhận ,0,0.0
Việt Nam có công nhận chứng chỉ CAE không?,nhận.,được công nhận,0,0.0
"Ngoài IELTS, TOEIC, TOEFL, em còn có thể thi những chứng chỉ nào nữa?","Cambridge English (PET, FCE, CAE),","TOEIC, TOEFL ITP, TOEFL iBT, IELTS, Cambridge English (PET, FCE, CAE)",0,0.5000000000000001
"Ngoài IELTS, TOEIC, TOEFL, còn những chứng chỉ nào được công nhận nữa?","Cambridge English (PET, FCE, CAE),","TOEIC, TOEFL ITP, TOEFL iBT, IELTS, Cambridge English (PET, FCE, CAE)",0,0.5000000000000001
Chứng chỉ anh văn trong trường đại học được ai công nhận?,ĐHQG-HCM,ĐHQG-HCM công nhận có giá trị sử dụng,0,0.2222222222222222
Chứng chỉ tiếng Anh xài được trong bao lâu?,02 năm,02 năm,1,1.0
Thời hạn có hiệu lực của 1 chứng chỉ tiếng anh?,trong vòng 02 năm kể từ ngày cấp tính đến ngày xét công nhận.,02 năm,0,0.25
Khi nào thì chứng chỉ tiếng anh trường cấp cho em hết hạn?,02 năm,02 năm,1,1.0
Học cùng lúc hai chương trình đào tạo được áp dụng đối với chương trình đào tạo nào?,"chương trình song ngành,",chương trình song ngành,0,0.75
Đối tượng nào được học cùng lúc hai chương trình đào tạo?,"chương trình song ngành,",sinh viên có đủ điều kiện,0,0.0
Sinh viên muốn đăng ký học thêm một chương trình thứ hai thì làm gì,khi tốt nghiệp được cấp hai văn bằng.,Học cùng lúc hai chương trình đào tạo,0,0.125
Sinh viên nào có đủ điều kiệ học 2 chương trình?,đủ điều kiện tốt nghiệp ở chương trình đào tạo thứ nhất.,quy định tại Khoản 2 Điều 19,0,0.0
Học chương trình nào thì được phép học cùng lúc hai chương trình đào tạo?,"chương trình song ngành,",chương trình song ngành,0,0.75
Điều kiện tối thiểu để học ngành thứ 2?,Ngành,"Ngành đào tạo của chương trình đào tạo thứ hai phải khác ngành đào tạo của chương trình đào tạo thứ nhất, Không có sự khác biệt trong hình thức và trình độ đào tạo giữa hai chương trình đào tạo, Đã hoàn thành học kỳ 1 năm học đầu tiên của chương trình đào tạo thứ nhất và sinh viên thuộc diện xếp loại học lực trung bình khá trở lên",0,0.0273972602739726
Khi nào sinh viên được học nghành thứ 2?,có đủ điều kiện tốt nghiệp ở chương trình đào tạo thứ nhất.,đồng thời thỏa mãn các điều kiện tối thiểu  ,0,0.18181818181818185
Điều kiện tối thiểu để đăng ký học thêm một chương trình đào tạo thứ hai ?,lên.,"Ngành đào tạo của chương trình đào tạo thứ hai phải khác ngành đào tạo của chương trình đào tạo thứ nhất, Không có sự khác biệt trong hình thức và trình độ đào tạo giữa hai chương trình đào tạo, Đã hoàn thành học kỳ 1 năm học đầu tiên của chương trình đào tạo thứ nhất và sinh viên thuộc diện xếp loại học lực trung bình khá trở lên",0,0.0
Ai có thể đăng kí học nghành thứ 2?,Sinh viên,Sinh viên trình độ đại học đang học tại các CSĐT của ĐHQG-HCM,0,0.2666666666666667
Tối thiểu xếp loại học lực như nào được đăng ký hai chương trình đào tạo?,trung bình khá trở lên.,xếp loại học lực trung bình khá trở lên,0,0.5714285714285714
Thời gian tối đa được phép học đối với sinh viên học cùng lúc hai chương trình?,"thời gian tối đa quy định cho chương trình thứ nhất,",thời gian tối đa quy định cho chương trình thứ nhất,0,0.9090909090909091
Ở đâu quy định về thời gian tối đa sinh viên được học nghành thứ 2?,"Khoản 2, Điều 6",Điều 6 của Quy chế ,0,0.4444444444444445
"Nếu học cùng lúc hai chương trình đào tạo, sinh viên được xét tốt nghiệp như thế nào?",có đủ điều kiện tốt nghiệp ở chương trình đào tạo thứ nhất.,xét tốt nghiệp chương trình đào tạo thứ hai,0,0.6363636363636364
Sinh viên bị đình chỉ học tập 1 năm khi nào?,vi phạm lần đầu trong việc đi thi hộ hoặc nhờ người thi hộ.,vi phạm lần đầu trong việc đi thi hộ hoặc nhờ người thi hộ,0,0.8571428571428571
nếu vi phạm lần đầu trong việc đi thi hộ thì sao?,Sinh viên bị đình chỉ học tập 1 năm học,bị đình chỉ học tập 1 năm học,0,0.7777777777777777
Sinh viên bị đình chỉ học tập trong thời hạn bao lâu nếu vi phạm lần đầu trong việc thi hộ hoặc nhờ người thi hộ?,1 năm học,1 năm học ,0,1.0
Sinh viên bị đình chỉ học tập 1 năm học nếu vi phạm lần thứ bao nhiêu trong việc đi thi hộ hoặc nhờ người thi hộ?,lần đầu,lần đầu,1,1.0
Đình chỉ học tập nếu vi phạm lần đầu chỉ trong việc nhờ người thi hộ đúng không?,Sinh viên,hoặc nhờ người thi hộ,0,0.0
Đình chỉ học tập có thời hạn áp dụng với đối tượng sinh viên nào?,sinh,đang trong thời gian bị cảnh báo mà vẫn vi phạm kỷ luật hoặc vi phạm nghiêm trọng các hành vi sinh viên không được làm; sinh viên vi phạm pháp luật bị xử phạt tù nhưng cho hưởng án treo,0,0.047619047619047616
Khi nào sinh viên bị đình chỉ học tập có thời hạn?,vi phạm lần đầu trong việc đi thi hộ hoặc nhờ người thi hộ.,đang trong thời gian bị cảnh báo mà vẫn vi phạm kỷ luật hoặc vi phạm nghiêm trọng các hành vi sinh viên không được làm; sinh viên vi phạm pháp luật bị xử phạt tù nhưng cho hưởng án treo,0,0.14545454545454548
Sinh viên đang trong thời gian bị cảnh báo mà vẫn vi phạm kỷ luật  thì bị xử lý thế nào?,Đình chỉ học tập có thời hạn:,Đình chỉ học tập có thời hạn,0,0.8571428571428571
Chỉ có những sinh viên đang trong thời gian bị cảnh báo mà vẫn vi phạm kỷ luật thì mới bị đình chỉ học tập có thời hạn phải không?,không,vi phạm nghiêm trọng các hành vi sinh viên không được làm,0,0.15384615384615385
Sinh viên vi phạm pháp luật bị xử lý thế nào?,bị xử phạt tù nhưng cho hưởng án treo.,bị xử phạt tù nhưng cho hưởng án treo,0,0.8888888888888888
Hình thức xử phạt đối với sinh viên vi phạm pháp luật?,tù,bị xử phạt tù nhưng cho hưởng án treo,0,0.19999999999999998
Sinh viên vi phạm pháp luật có bị xử phạt tù không?,bị xử phạt tù,bị xử phạt tù nhưng cho hưởng án treo,0,0.6153846153846153
Bị xử phạt tù nhưng cho hưởng án treo là hình thức kỷ luật đối với đối tượng sinh viên nào?,sinh viên vi phạm pháp luật,vi phạm pháp luật,0,0.8
Sinh viên có theo dõi kết quả đăng ký học phần tại đâu?,tạo.,P. ĐTĐH hoặc văn phòng khoa/bộ môn quản lý ngành đào tạo,0,0.0
Bộ phận nào chịu trách nhiêm lưu giữ kết quả đăng ký học phần của sinh viên?,Sinh viên,P. ĐTĐH hoặc văn phòng khoa/bộ môn quản lý ngành đào tạo,0,0.0
P. ĐTĐH hoặc văn phòng khoa/bộ môn quản lý ngành đào tạo là nơi sinh viên có trách nhiệm làm gì?,Chương trình đào tạo,theo dõi kết quả đăng ký học phần ,0,0.0
Sinh viên làm gì tại P. ĐTĐH hoặc văn phòng khoa/bộ môn quản lý ngành đào tạo?,Chương trình đào tạo,theo dõi kết quả đăng ký học phần ,0,0.0
"Ngoài P. ĐTĐH, sinh viên có thể theo dõi kết quả đăng ký học phần ở bộ phận nào nữa?",văn phòng khoa/bộ môn quản lý ngành đào tạo.,văn phòng khoa/bộ môn quản lý ngành đào tạo,0,0.8888888888888888
Kết quả đăng ký học phần của mỗi sinh viên được thông báo ở đâu?,website của Trường.,website của Trường,0,0.6666666666666666
Website trường có vai trò gì?,"Chấm kết quả thực tập, khóa luận",Kết quả đăng ký học phần của mỗi sinh viên được thông báo,0,0.1
